year,articleCount,masterpieceCount
1036-1055å¹´,5.0,0.0
1056,3.0,0.0
1057,21.0,0.0
1059,43.0,0.0
1060,38.0,0.0
1061,12.0,0.0
1062,26.0,0.0
1063,41.0,0.0
1064,27.0,1.0
1065,11.0,0.0
1066,1.0,0.0
1067,12.0,0.0
1068,8.0,0.0
1069,25.333333333333332,0.0
1070,25.333333333333332,0.0
1071,55.33333333333333,0.0
1072,84.0,1.0
1073,105.0,1.0
1074,158.0,2.666666666666667
1075,45.0,1.6666666666666667
1076,45.0,1.6666666666666667
1077,127.0,2.5
1078,99.0,2.5
1079,102.0,1.0
1080,98.0,1.0
1081,90.0,1.0
1082,107.0,5.0
1083,111.0,2.0
1084,309.0,3.0
1085,141.0,0.0
1086,318.5,0.25
1087,318.5,0.25
1088,318.5,0.25
1089,408.5,0.25
1090,144.0,1.0
1091,242.0,1.0
1092,162.0,1.0
1093,153.0,0.0
1094,144.0,0.0
1095,100.5,1.0
1096,97.5,1.0
1097,187.0,0.5
1098,49.0,0.5
1099,39.0,1.0
1100,204.0,2.0
1101,119.0,0.0
